seriesID,Versus,teamID,teamName,position,players,kills,deaths,creep_score,gpm,madstone_collected,tower_kills,obs_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,roshan_kills,teamfight_participation,stuns,courier_kills,tormentor_kills,firstblood_claimed
1130669,Aurora Gaming vs Team Liquid,2163,Team Liquid,mid,Nisha,2568.0,3120.0,2202.0,2822.0,286.0,1056.0,351.0,1170.0,2820.0,588.0,0.0,0.0,3211.18,996.7,703.0,0.0,0.0
1130669,Aurora Gaming vs Team Liquid,2163,Team Liquid,support,tOfu & Boxi,,,,,,,2047.5,1755.0,493.5,2499.0,1611.5,0.0,2579.47,660.83,703.0,0.0,967.0
1130278,Aurora Gaming vs Team Spirit,9467224,Aurora Gaming,core,Nightfall & Ws`,1712.0,1950.0,2542.5,2563.0,494.0,1056.0,,,,,,1172.0,2461.18,651.59,351.5,439.5,967.0
1130278,Aurora Gaming vs Team Spirit,9467224,Aurora Gaming,mid,Mikoto,1070.0,2340.0,2409.0,2372.0,273.0,704.0,468.0,468.0,3384.0,1029.0,0.0,0.0,2705.45,1185.33,0.0,879.0,1934.0
1130278,Aurora Gaming vs Team Spirit,9467224,Aurora Gaming,support,Mira & kaori,,,,,,,1989.0,1755.0,916.5,2793.0,1758.0,586.0,2236.84,764.66,2109.0,0.0,0.0
1130278,Aurora Gaming vs Team Spirit,7119388,Team Spirit,core,Yatoro & Collapse,2033.0,2535.0,3241.5,3223.0,513.5,1936.0,,,,,,586.0,2809.88,1008.68,351.5,439.5,0.0
1130278,Aurora Gaming vs Team Spirit,7119388,Team Spirit,mid,Larl,2140.0,2340.0,2115.0,2514.0,234.0,1056.0,117.0,234.0,2820.0,882.0,0.0,0.0,2876.25,808.33,0.0,879.0,0.0
1130278,Aurora Gaming vs Team Spirit,7119388,Team Spirit,support,rue & not_me,,,,,,,1930.5,1755.0,423.0,1764.0,1611.5,0.0,2352.63,715.33,703.0,0.0,0.0
1130328,Aurora Gaming vs Team Yandex,9467224,Aurora Gaming,core,Nightfall & Ws`,1712.0,3510.0,2511.0,2806.0,481.0,1936.0,,,,,,1758.0,2902.19,959.57,351.5,879.0,0.0
1130328,Aurora Gaming vs Team Yandex,9467224,Aurora Gaming,mid,Mikoto,2354.0,3120.0,2004.0,2792.0,234.0,1760.0,585.0,468.0,2679.0,294.0,0.0,1172.0,3485.07,978.04,0.0,0.0,1934.0
1130328,Aurora Gaming vs Team Yandex,9467224,Aurora Gaming,support,Mira & kaori,,,,,,,1930.5,1170.0,1198.5,2940.0,1611.5,0.0,3032.54,1160.0,351.5,0.0,0.0
1130328,Aurora Gaming vs Team Yandex,9823272,Team Yandex,core,医者watson` & DM,1123.5,2827.5,2809.5,2715.0,533.0,704.0,,,,,,1172.0,2681.82,479.68,1054.5,0.0,967.0
1130328,Aurora Gaming vs Team Yandex,9823272,Team Yandex,mid,CHIRA_JUNIOR,1605.0,2340.0,2088.0,2302.0,312.0,704.0,351.0,1404.0,2256.0,441.0,0.0,0.0,3561.45,895.32,703.0,0.0,0.0
1130328,Aurora Gaming vs Team Yandex,9823272,Team Yandex,support,Maladych & Saksa,,,,,,,1989.0,2340.0,1410.0,3307.5,1758.0,586.0,2982.18,858.99,1054.5,0.0,967.0
1130060,BoomBoys vs Iron Wing,8255888,BoomBoys,core,Kiritych~ & MieRo,2193.5,2242.5,3814.5,2993.0,526.5,2640.0,,,,,,3516.0,2993.85,451.68,0.0,1318.5,0.0
1130060,BoomBoys vs Iron Wing,8255888,BoomBoys,mid,gpk~,2247.0,2925.0,3909.0,2876.0,520.0,704.0,468.0,1872.0,3948.0,735.0,0.0,0.0,2944.64,860.01,2109.0,0.0,0.0
1130060,BoomBoys vs Iron Wing,8255888,BoomBoys,support,Save- & Kataomi`,,,,,,,3100.5,1287.0,1057.5,3307.5,2930.0,0.0,2758.07,2009.3,351.5,0.0,0.0
1130060,BoomBoys vs Iron Wing,10150413,Iron Wing,core,33 & Pure,1979.5,2437.5,4101.0,3329.0,689.0,1232.0,,,,,,2930.0,2817.25,1031.49,0.0,879.0,1934.0
1130060,BoomBoys vs Iron Wing,10150413,Iron Wing,mid,bzm,1605.0,2730.0,3915.0,2818.0,260.0,704.0,351.0,2340.0,4653.0,1176.0,0.0,0.0,3339.91,2754.3,0.0,0.0,0.0
1130060,BoomBoys vs Iron Wing,10150413,Iron Wing,support,Ari & Whitemon,,,,,,,3159.0,4446.0,987.0,3748.5,2783.5,0.0,2891.64,1119.65,703.0,439.5,967.0
1130032,BoomBoys vs OG,8255888,BoomBoys,core,Kiritych~ & MieRo,1284.0,3412.5,3019.5,2961.0,500.5,1760.0,,,,,,586.0,2646.68,609.84,351.5,0.0,967.0
1130032,BoomBoys vs OG,8255888,BoomBoys,mid,gpk~,1819.0,3315.0,2856.0,2838.0,325.0,2464.0,468.0,2340.0,2679.0,147.0,0.0,3516.0,2643.35,989.02,703.0,879.0,0.0
1130032,BoomBoys vs OG,8255888,BoomBoys,support,Save- & Kataomi`,,,,,,,2106.0,1287.0,634.5,2425.5,1904.5,0.0,2610.06,627.33,1406.0,0.0,0.0
1130032,BoomBoys vs OG,2586976,OG,core,Raven & Natsumi,428.0,2145.0,2449.5,2207.0,416.0,704.0,,,,,,0.0,2590.81,400.66,351.5,439.5,0.0
1130032,BoomBoys vs OG,2586976,OG,mid,Yopaj-,856.0,2535.0,2283.0,2066.0,377.0,0.0,585.0,1170.0,1692.0,441.0,586.0,0.0,3150.99,571.01,0.0,0.0,0.0
1130032,BoomBoys vs OG,2586976,OG,support,TIMS & skem,,,,,,,1872.0,1053.0,1551.0,2499.0,1611.5,0.0,2532.46,947.99,2812.0,0.0,967.0
1130305,BoomBoys vs TEAM VISION,8255888,BoomBoys,core,Kiritych~ & MieRo,1177.0,1852.5,3457.5,2567.0,442.0,704.0,,,,,,1172.0,2564.89,2102.18,0.0,879.0,0.0
1130305,BoomBoys vs TEAM VISION,8255888,BoomBoys,mid,gpk~,1498.0,2535.0,3219.0,2324.0,507.0,0.0,351.0,936.0,3807.0,0.0,0.0,1172.0,3372.65,1340.71,703.0,879.0,0.0
1130305,BoomBoys vs TEAM VISION,8255888,BoomBoys,support,Save- & Kataomi`,,,,,,,2691.0,2457.0,493.5,2572.5,2344.0,0.0,2999.35,369.34,1054.5,439.5,967.0
